S.No.,State/UT,2019 - January,2019 - February,2019 - March,2019 - April,2019 - May,2019 - June,2019 - Total,2018 - January,2018 - February,2018 - March,2018 - April,2018 - May,2018 - June,2018 - July,2018 - August,2018 - September,2018 - October,2018 - November,2018 - December,2018 - Total
1,Andhara Pradesh,62,32,56,87,71,141,449,90,81,77,46,69,285,928,1162,576,348,199,150,4011
2,Arunachal Pradesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
3,Assam,0,4,4,3,3,3,17,2,1,2,2,3,20,17,10,20,30,56,3,166
4,Bihar,0,0,0,0,3,2,5,2,0,0,0,0,3,3,45,166,841,1028,54,2142
5,Chhattisgarh,18,23,12,5,30,8,96,3,4,1,0,3,7,170,587,1200,465,189,45,2674
6,Goa,16,7,8,9,6,47,93,20,8,11,7,10,68,71,41,36,31,19,13,335
7,Gujarat,111,55,59,39,76,54,394,141,102,89,72,100,76,196,583,1518,2854,1347,501,7579
8,Haryana,0,0,0,0,2,1,3,0,0,0,3,2,2,9,40,245,768,685,144,1898
9,Himachal Pradesh,5,4,1,3,1,4,18,0,0,0,0,0,65,481,1276,1481,1131,228,10,4672
10,J & K,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,21,131,53,7,214
11,Jharkhand,5,1,6,10,4,6,32,1,0,0,3,3,7,18,103,104,77,126,21,463
12,Karnataka,51,199,247,219,414,803,1933,154,298,230,138,186,415,606,362,300,601,318,819,4427
13,Kerala,72,62,58,64,100,464,820,167,94,72,73,439,1454,779,293,282,181,135,114,4083
14,Madhya Pradesh,10,22,13,7,5,19,76,6,10,3,6,9,17,104,302,853,1928,1130,138,4506
15,Meghalaya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,28,44
16,Maharashtra,148,154,150,134,181,202,969,120,59,55,122,187,550,1046,1728,2047,2278,1823,996,11011
17,Manipur,1,0,0,0,2,2,5,1,0,2,1,0,0,2,2,1,3,1,1,14
18,Mizoram,0,0,5,1,0,0,6,4,6,12,12,13,6,4,4,2,2,3,0,68
19,Nagaland,0,0,0,0,0,2,2,0,0,0,0,0,0,0,88,147,77,57,0,369
20,Odisha,2,0,0,0,0,61,63,7,6,9,8,5,191,568,1637,1452,915,341,59,5198
21,Punjab,0,0,0,8,3,52,63,0,0,0,0,5,3,31,317,1970,6555,5454,645,14980
22,Rajasthan,123,77,57,51,44,46,398,483,261,252,256,278,280,239,331,962,3917,1928,400,9587
23,Sikkim,2,3,1,1,0,0,7,5,0,1,6,1,1,1,67,155,68,15,0,320
24,Tamil Nadu,376,190,186,100,114,134,1100,917,308,144,87,71,98,132,178,240,605,1016,690,4486
25,Tripura,10,6,3,7,9,11,46,3,1,2,0,10,3,9,10,7,22,26,7,100
26,Telengana,85,23,223,177,259,186,953,48,99,55,65,94,33,276,529,1173,1149,693,378,4592
27,Uttar Pradesh,20,11,9,3,11,15,69,48,24,28,21,17,12,34,126,602,2126,627,164,3829
28,Uttrakhand,0,0,0,0,0,0,0,0,0,0,0,0,0,6,10,190,335,148,0,689
29,West Bengal,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported,Not Reported
30,A&N Island,24,0,0,0,1,0,25,0,1,2,1,5,2,0,0,10,12,6,10,49
31,Chandigarh,0,0,0,0,0,7,7,3,1,1,0,2,5,5,17,56,115,80,16,301
32,Delhi,1,18,5,16,13,38,91,5,10,3,8,8,24,49,160,889,2245,2813,922,7136
33,D&N Haveli,0,4,4,4,4,6,22,13,3,4,7,11,25,18,44,85,160,94,29,493
34,Daman & Diu,0,0,0,0,0,1,1,2,1,0,0,0,4,3,8,36,60,35,14,163
35,Puducherry,64,72,49,60,23,27,295,60,31,5,4,3,2,9,15,51,95,179,138,592
Total,Total,1206,967,1156,1008,1379,2342,8058,2305,1409,1060,948,1535,3658,5815,10092,16877,30125,20852,6516,101192
